"n","company","country","city","category","linkedin_search","note_200","portfolio_link","why"
"1","Clavis","BE","Hasselt","illustration","Art Director Clavis Uitgeverij","Hello {Name}! I'm a children's book illustrator; I paint digitally and also do book layout. Clavis feels like a place where my style would fit :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Найбільший видавець дитячої книги нідерландською, великий відділ ко-видань на 30+ мов. Постійно шукають ілюстраторів під міжнародні проєкти."
"2","Lemniscaat","NL","Rotterdam","illustration","Art Director Lemniscaat","Hello {Name}! I'm a children's book illustrator, I paint digitally. Lemniscaat's picture books are exactly the kind I'd love to draw for :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Незалежне, список побудований навколо ілюстраторів. Малий і живий, реагують на прямі звернення."
"3","De Eenhoorn","BE","Wielsbeke","illustration","Uitgever De Eenhoorn","Hello {Name}! I'm an illustrator who paints digitally for kids. De Eenhoorn seems to really let artists play, I'd love to draw for you :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Відомі тим, що дають художникам експериментувати. 500+ книжок, багато дебютів."
"4","Gottmer","NL","Haarlem","illustration","Art Director Gottmer Uitgevers","Hello {Name}! I'm a children's book illustrator; I paint digitally and also do book layout. Gottmer looks like a good fit for how I draw :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Незалежний, широкий діапазон від власних тайтлів до ліцензійних активіті-книжок. Багато роботи на верстку теж."
"5","Querido Kinderboeken","NL","Amsterdam","illustration","Art Director Querido Kinderboeken","Hello {Name}! I'm a children's book illustrator, I paint digitally. Querido's list feels close to my style and I'd love to draw for it :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Сильний літературний список для дітей, добре ставляться до нових імен."
"6","De Vier Windstreken","NL","Woerden","illustration","Uitgeverij De Vier Windstreken","Hello {Name}! I'm a children's book illustrator; I paint digitally and do book layout. De Vier Windstreken seems like a place my work would fit :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Малий видавець, живе на ко-виданнях, тобто постійно потребує нових ілюстраторів."
"7","Corraini Edizioni","IT","Mantova","illustration","Corraini Edizioni editor","Hello {Name}! I'm an illustrator, I paint digitally for children's books. Corraini's books are so playful, I'd love to make one with you :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Артова дитяча книга, Bologna Best Children's Publisher 2018. Дуже візуальні, дивляться портфоліо."
"8","NordSüd Verlag","CH","Zurich","illustration","Art Director NordSüd Verlag","Hello {Name}! I'm a children's book illustrator, I paint digitally. NordSüd's picture books feel like the world I draw in :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Класичний швейцарський picture book, сильна програма ко-видань англійською."
"9","Bohem Press","CH","Zurich","illustration","Bohem Press editor","Hello {Name}! I'm a children's book illustrator, I paint digitally and do layout too. Bohem Press looks like the kind of list I belong on :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Малий, повністю про ілюстрацію, історично відкриті до європейських художників."
"10","Gerstenberg Verlag","DE","Hildesheim","illustration","Art Director Gerstenberg Verlag","Hello {Name}! I'm a children's book illustrator; I paint digitally and also do book layout. Gerstenberg feels like a natural fit for me :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Сімейне видавництво, picture books і дитячий нон-фікшн. Нон-фікшн для дітей це багато ілюстрації."
"11","Jacoby & Stuart","DE","Berlin","illustration","Jacoby Stuart Verlag editor","Hello {Name}! I'm an illustrator who paints digitally for kids. Jacoby & Stuart's books look like the kind I'd love to be part of :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Молоде незалежне видавництво ілюстрованих дитячих книг, невелика команда."
"12","arsEdition","DE","Munich","illustration","Art Director arsEdition","Hello {Name}! I'm a children's book illustrator, I paint digitally. arsEdition does so much beyond books, I'd love to draw for you :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Книжки, подарункові видання, канцелярія і календарі. Величезний обсяг ілюстрації і не тільки книжкової."
"13","Coppenrath Verlag","DE","Münster","illustration","Art Director Coppenrath Verlag","Hello {Name}! I'm a children's book illustrator; I paint digitally and also do book layout. Coppenrath seems like a good home for my style :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Сімейне, дитячі книжки плюс подарунковий напрям. Стабільний потік замовлень ілюстраторам."
"14","Beltz & Gelberg","DE","Weinheim","illustration","Art Director Beltz Gelberg","Hello {Name}! I'm a children's book illustrator, I paint digitally. Beltz & Gelberg's picture books are the kind I'd love to draw :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Дуже поважний дитячий імпринт, сильна ілюстраційна традиція."
"15","Thienemann-Esslinger","DE","Stuttgart","illustration","Art Director Thienemann Esslinger","Hello {Name}! I'm an illustrator, I paint digitally and also lay out books. Thienemann's list feels close to how I draw :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Великий дитячий видавець із кількома імпринтами, багато picture books щороку."
"16","Loewe Verlag","DE","Bindlach","illustration","Art Director Loewe Verlag","Hello {Name}! I'm a children's book illustrator; I paint digitally and do book layout. Loewe looks like a place where my style would fit :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Один з найбільших дитячих видавців Німеччини, від картонок до середнього віку."
"17","Carlsen Verlag","DE","Hamburg","illustration","Art Director Carlsen Verlag","Hello {Name}! I'm a children's book illustrator, I paint digitally. Carlsen makes the kind of books I grew up wanting to draw :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Великий, дитячі книжки плюс комікси. Ко-видання і ліцензії, тобто постійні брифи."
"18","Oetinger","DE","Hamburg","illustration","Art Director Oetinger Verlag","Hello {Name}! I'm a children's book illustrator; I paint digitally and also do book layout. Oetinger feels like a place my work would fit :) sofiiac.netlify.app/illustration","https://sofiiac.netlify.app/illustration","Класика німецької дитячої книги, широкий список picture books."
